Age,Gender,Education Level,Job Title,Years of Experience,Salary
28,Male,Bachelor's,Software Engineer,4,72000
35,Female,Master's,Data Scientist,8,110000
42,Male,PhD,Senior Manager,15,145000
26,Female,Bachelor's,Junior Analyst,2,45000
50,Male,PhD,Director,22,185000
31,Female,Master's,Product Manager,6,95000
38,Male,Bachelor's,Sales Manager,11,82000
29,Female,Master's,UX Designer,5,78000
45,Male,PhD,Principal Engineer,18,165000
33,Female,Bachelor's,Marketing Manager,8,88000
27,Male,Master's,Data Analyst,3,65000
48,Female,PhD,VP of Engineering,20,195000
24,Male,Bachelor's,Graduate Developer,1,42000
36,Female,Master's,Business Analyst,9,92000
52,Male,PhD,Chief Technology Officer,25,220000
30,Female,Bachelor's,HR Manager,6,68000
43,Male,Master's,Cloud Architect,14,135000
25,Female,Bachelor's,Frontend Developer,2,52000
55,Male,PhD,Chief Executive Officer,28,280000
32,Female,Master's,DevOps Engineer,7,98000
